Date,Start (local),Visitor/Neutral,PTS,Home/Neutral,PTS,,Overtimes,Notes
Thu Mar 2 2017,12:00 AM NUL,Olympiacos,82,Maccabi FOX Tel Aviv,71,,,Regular Season
Thu Mar 2 2017,12:00 AM NUL,Brose Bamberg,60,Crvena Zvezda mts,74,,,Regular Season
Thu Mar 2 2017,12:00 AM NUL,EA7 Emporio Armani Milan,74,Baskonia,87,,,Regular Season
Thu Mar 2 2017,12:00 AM NUL,Fenerbahce,76,Zalgiris,67,,,Regular Season
Fri Mar 3 2017,12:00 AM NUL,CSKA Moscow,85,FC Barcelona Lassa,61,,,Regular Season
Fri Mar 3 2017,12:00 AM NUL,Panathinaikos Superfoods,72,Darussafaka Dogus,77,,,Regular Season
Fri Mar 3 2017,12:00 AM NUL,Anadolu Efes,99,UNICS,92,,,Regular Season
Thu Mar 9 2017,12:00 AM NUL,UNICS,62,FC Barcelona Lassa,70,,,Regular Season
Thu Mar 9 2017,12:00 AM NUL,Galatasaray Odeabank,69,CSKA Moscow,85,,,Regular Season
Thu Mar 9 2017,12:00 AM NUL,EA7 Emporio Armani Milan,82,Maccabi FOX Tel Aviv,92,,,Regular Season
Thu Mar 9 2017,12:00 AM NUL,Baskonia,79,Fenerbahce,74,,,Regular Season
Thu Mar 9 2017,12:00 AM NUL,Panathinaikos Superfoods,58,Zalgiris,64,,,Regular Season
Fri Mar 10 2017,12:00 AM NUL,Brose Bamberg,87,Anadolu Efes,68,,,Regular Season
Fri Mar 10 2017,12:00 AM NUL,Darussafaka Dogus,73,Olympiacos,81,,,Regular Season
Fri Mar 10 2017,12:00 AM NUL,Crvena Zvezda mts,68,Real Madrid,98,,,Regular Season
Thu Mar 16 2017,12:00 AM NUL,Maccabi FOX Tel Aviv,87,Anadolu Efes,92,,,Regular Season
Thu Mar 16 2017,12:00 AM NUL,Fenerbahce,83,Brose Bamberg,78,,,Regular Season
Thu Mar 16 2017,12:00 AM NUL,Crvena Zvezda mts,78,EA7 Emporio Armani Milan,71,,,Regular Season
Thu Mar 16 2017,12:00 AM NUL,Real Madrid,82,Panathinaikos Superfoods,88,,,Regular Season
Fri Mar 17 2017,12:00 AM NUL,FC Barcelona Lassa,56,Darussafaka Dogus,67,,,Regular Season
Fri Mar 17 2017,12:00 AM NUL,Galatasaray Odeabank,80,Olympiacos,71,,,Regular Season
Fri Mar 17 2017,12:00 AM NUL,Zalgiris,82,UNICS,80,,,Regular Season
Fri Mar 17 2017,12:00 AM NUL,CSKA Moscow,78,Baskonia,79,,,Regular Season
Tue Mar 21 2017,12:00 AM NUL,Baskonia,96,Brose Bamberg,71,,,Regular Season
Tue Mar 21 2017,12:00 AM NUL,EA7 Emporio Armani Milan,61,Panathinaikos Superfoods,74,,,Regular Season
Tue Mar 21 2017,12:00 AM NUL,Maccabi FOX Tel Aviv,81,Fenerbahce,79,,,Regular Season
Tue Mar 21 2017,12:00 AM NUL,Anadolu Efes,76,Zalgiris,68,,,Regular Season
Wed Mar 22 2017,12:00 AM NUL,Darussafaka Dogus,85,CSKA Moscow,95,,,Regular Season
Wed Mar 22 2017,12:00 AM NUL,UNICS,67,Galatasaray Odeabank,75,,,Regular Season
Wed Mar 22 2017,12:00 AM NUL,FC Barcelona Lassa,69,Real Madrid,85,,,Regular Season
Wed Mar 22 2017,12:00 AM NUL,Olympiacos,66,Crvena Zvezda mts,64,,,Regular Season
Thu Mar 23 2017,12:00 AM NUL,Fenerbahce,77,Anadolu Efes,80,,,Regular Season
Thu Mar 23 2017,12:00 AM NUL,Zalgiris,93,Maccabi FOX Tel Aviv,77,,,Regular Season
Thu Mar 23 2017,12:00 AM NUL,Brose Bamberg,84,EA7 Emporio Armani Milan,76,,,Regular Season
Thu Mar 23 2017,12:00 AM NUL,Panathinaikos Superfoods,72,Baskonia,63,,,Regular Season
Fri Mar 24 2017,12:00 AM NUL,Crvena Zvezda mts,54,FC Barcelona Lassa,67,,,Regular Season
Fri Mar 24 2017,12:00 AM NUL,Galatasaray Odeabank,67,Darussafaka Dogus,73,,,Regular Season
Fri Mar 24 2017,12:00 AM NUL,Real Madrid,79,Olympiacos,73,,,Regular Season
Fri Mar 24 2017,12:00 AM NUL,CSKA Moscow,85,UNICS,74,,,Regular Season
Thu Mar 30 2017,12:00 AM NUL,Olympiacos,69,Anadolu Efes,77,,,Regular Season
Thu Mar 30 2017,12:00 AM NUL,Maccabi FOX Tel Aviv,71,FC Barcelona Lassa,76,,,Regular Season
Thu Mar 30 2017,12:00 AM NUL,Darussafaka Dogus,99,Brose Bamberg,97,,,Regular Season
Fri Mar 31 2017,12:00 AM NUL,Baskonia,103,Galatasaray Odeabank,80,,,Regular Season
Fri Mar 31 2017,12:00 AM NUL,CSKA Moscow,80,Panathinaikos Superfoods,85,,,Regular Season
Fri Mar 31 2017,12:00 AM NUL,Fenerbahce,56,Real Madrid,61,,,Regular Season
Fri Mar 31 2017,12:00 AM NUL,UNICS,65,Crvena Zvezda mts,83,,,Regular Season
Fri Mar 31 2017,12:00 AM NUL,EA7 Emporio Armani Milan,88,Zalgiris,84,,,Regular Season
Thu Apr 6 2017,12:00 AM NUL,Galatasaray Odeabank,84,Brose Bamberg,79,,,Regular Season
Thu Apr 6 2017,12:00 AM NUL,Panathinaikos Superfoods,81,Maccabi FOX Tel Aviv,61,,,Regular Season
Thu Apr 6 2017,12:00 AM NUL,FC Barcelona Lassa,65,Fenerbahce,68,,,Regular Season
Thu Apr 6 2017,12:00 AM NUL,Zalgiris,84,Baskonia,79,,,Regular Season
Fri Apr 7 2017,12:00 AM NUL,Olympiacos,86,CSKA Moscow,90,,,Regular Season
Fri Apr 7 2017,12:00 AM NUL,Crvena Zvezda mts,62,Darussafaka Dogus,78,,,Regular Season
Fri Apr 7 2017,12:00 AM NUL,UNICS,91,EA7 Emporio Armani Milan,68,,,Regular Season
Fri Apr 7 2017,12:00 AM NUL,Anadolu Efes,80,Real Madrid,97,,,Regular Season
